,Cluster_Cliente,Credit_Limit,Total_Trans_Amt,Probabilidad_Churn,Estrategia_Asignada,Prediccion_Final,Churn_Real
6664,3,1438.3,2116,0.8961830004500279,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
5468,0,2112.0,4729,0.0015938399569467804,Sin Acción (Cliente Estable),0,0
5873,3,2028.0,4030,0.002098067439185888,Sin Acción (Cliente Estable),0,0
1100,0,2803.0,1968,0.006147839187516646,Sin Acción (Cliente Estable),0,0
9361,1,7139.0,14802,0.003823165104365591,Sin Acción (Cliente Estable),0,0
5681,3,16509.0,1740,0.8718998739789672,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
4671,0,2157.0,4250,0.0015606931521266463,Sin Acción (Cliente Estable),0,0
8354,3,6990.0,4861,0.001462404258247177,Sin Acción (Cliente Estable),0,0
290,2,14546.0,1273,0.33085695378852753,DESPERTAR VIP: Re-engagement (Bono de Cashback / Upgrade Tarjeta),1,0
3946,3,4786.0,4347,0.0021171989686922708,Sin Acción (Cliente Estable),0,0
7114,0,4432.0,4144,0.0016568198591819855,Sin Acción (Cliente Estable),0,0
9259,1,34516.0,13376,0.00416204927775405,Sin Acción (Cliente Estable),0,0
9858,1,34516.0,16712,0.001944297293986546,Sin Acción (Cliente Estable),0,0
3101,2,25270.0,1941,0.008545660265655779,Sin Acción (Cliente Estable),0,0
4588,3,8685.0,2473,0.5135191239760343,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,0
9384,1,13312.0,14336,0.0034916113767397266,Sin Acción (Cliente Estable),0,0
9340,1,3860.0,14474,0.002003012859018842,Sin Acción (Cliente Estable),0,0
1830,3,6184.0,1712,0.8116009750669548,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
5379,0,2016.0,4379,0.001759418380958152,Sin Acción (Cliente Estable),0,0
961,2,19715.0,1979,0.00964340269507954,Sin Acción (Cliente Estable),0,0
6566,0,2900.0,4656,0.0066175867757565935,Sin Acción (Cliente Estable),0,0
522,3,12151.0,918,0.5167426306885312,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
3997,3,5652.0,3710,0.004342627390949151,Sin Acción (Cliente Estable),0,0
2897,0,2673.0,3052,0.017078264209635624,Sin Acción (Cliente Estable),0,0
2534,3,9149.0,1220,0.015329832862763657,Sin Acción (Cliente Estable),0,0
1815,2,24296.0,1886,0.062496664020434245,Sin Acción (Cliente Estable),0,0
2135,0,2683.0,2373,0.0033938057424899373,Sin Acción (Cliente Estable),0,0
1831,0,2029.0,1802,0.016715024135714417,Sin Acción (Cliente Estable),0,0
748,0,2421.0,1346,0.004641598063898388,Sin Acción (Cliente Estable),0,0
6240,0,2156.0,4120,0.0017717117586246072,Sin Acción (Cliente Estable),0,0
8801,2,34516.0,7665,0.005842169119797702,Sin Acción (Cliente Estable),0,0
5798,3,3054.0,4460,0.0017389713410347978,Sin Acción (Cliente Estable),0,0
5190,3,1694.0,2349,0.9724907345832622,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
2793,3,11188.0,2109,0.7631988625123306,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
2238,3,9959.0,1584,0.03441844742002798,Sin Acción (Cliente Estable),0,0
6731,3,1764.0,2105,0.6097575033732836,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
4704,0,2069.0,5668,0.0024283838199798524,Sin Acción (Cliente Estable),0,0
9283,1,32535.0,15738,0.0020973092408353125,Sin Acción (Cliente Estable),0,0
7949,0,1438.3,4669,0.0023656756276126457,Sin Acción (Cliente Estable),0,0
2591,0,2689.0,1188,0.006170194635856579,Sin Acción (Cliente Estable),0,0
7237,2,22067.0,3577,0.002814441738712007,Sin Acción (Cliente Estable),0,0
6995,3,16547.0,1561,0.7808406561619439,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
6824,0,4568.0,4869,0.001636326149105358,Sin Acción (Cliente Estable),0,0
2562,2,18951.0,2874,0.005556341273873596,Sin Acción (Cliente Estable),0,0
2607,0,1901.0,2450,0.04214619953678581,Sin Acción (Cliente Estable),0,0
1915,3,2941.0,1453,0.030141658531271445,Sin Acción (Cliente Estable),0,0
1302,2,34516.0,1378,0.024536120550418025,Sin Acción (Cliente Estable),0,0
8054,0,1925.0,4343,0.009531502345626039,Sin Acción (Cliente Estable),0,0
4734,0,2393.0,4755,0.0015233626102150615,Sin Acción (Cliente Estable),0,0
8216,0,2814.0,4766,0.001891316304434695,Sin Acción (Cliente Estable),0,0
6320,0,1438.3,4341,0.0020057029077050438,Sin Acción (Cliente Estable),0,0
2039,0,2240.0,1518,0.004408164663715699,Sin Acción (Cliente Estable),0,0
2596,2,22075.0,2337,0.08414308863213311,Sin Acción (Cliente Estable),0,0
9156,2,27742.0,8646,0.6315838821703554,DESPERTAR VIP: Re-engagement (Bono de Cashback / Upgrade Tarjeta),1,1
4814,0,3714.0,4715,0.00367068554923361,Sin Acción (Cliente Estable),0,0
2876,3,7570.0,3849,0.002825263374003206,Sin Acción (Cliente Estable),0,0
7630,0,11726.0,4186,0.0033889476794450963,Sin Acción (Cliente Estable),0,0
909,0,9149.0,1790,0.006470846708331761,Sin Acción (Cliente Estable),0,0
1150,0,5881.0,1931,0.025704540729455758,Sin Acción (Cliente Estable),0,0
8374,0,1821.0,4786,0.0016723732215608298,Sin Acción (Cliente Estable),0,0
345,2,34516.0,1106,0.10668512966422124,Sin Acción (Cliente Estable),0,0
2655,0,2494.0,2946,0.004382562561183683,Sin Acción (Cliente Estable),0,0
3132,3,2173.0,4251,0.013321617187041352,Sin Acción (Cliente Estable),0,0
2496,2,20117.0,2906,0.0038313579386154172,Sin Acción (Cliente Estable),0,0
5528,0,3307.0,4006,0.0021043079834499115,Sin Acción (Cliente Estable),0,0
4634,3,10074.0,3338,0.0021107408700063116,Sin Acción (Cliente Estable),0,0
7600,0,2690.0,4917,0.0015859556494694266,Sin Acción (Cliente Estable),0,0
8913,2,24499.0,7667,0.014024294453691797,Sin Acción (Cliente Estable),0,0
3861,3,3532.0,3162,0.05838326331848191,Sin Acción (Cliente Estable),0,0
4127,0,3645.0,4142,0.003931530554142311,Sin Acción (Cliente Estable),0,0
4740,3,2761.0,2753,0.9801875439575719,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
8843,1,15030.0,7603,0.003949259650263474,Sin Acción (Cliente Estable),0,0
2318,2,19074.0,3762,0.002581134801632888,Sin Acción (Cliente Estable),0,0
2656,2,25215.0,2588,0.005338700150508528,Sin Acción (Cliente Estable),0,0
488,0,2279.0,1693,0.002205506364983869,Sin Acción (Cliente Estable),0,0
6963,0,1438.3,4542,0.002402929319506504,Sin Acción (Cliente Estable),0,0
5169,0,3095.0,3901,0.0015583765217400466,Sin Acción (Cliente Estable),0,0
5677,0,2580.0,2981,0.9403304560224052,ALIVIO FINANCIERO: Reestructuración (Descuento de Tasa / Pagos Fijos),1,1
6105,3,2679.0,4804,0.002263568126420315,Sin Acción (Cliente Estable),0,0
9908,1,14804.0,15237,0.0038611537117977618,Sin Acción (Cliente Estable),0,0
9445,1,8940.0,14459,0.002003012859018842,Sin Acción (Cliente Estable),0,0
8994,1,17072.0,8591,0.003873563938754417,Sin Acción (Cliente Estable),0,0
5957,0,1690.0,3928,0.0019248969590616996,Sin Acción (Cliente Estable),0,0
8826,0,2437.0,8028,0.010863454150752882,Sin Acción (Cliente Estable),0,0
2432,2,25517.0,2508,0.9418277359695421,DESPERTAR VIP: Re-engagement (Bono de Cashback / Upgrade Tarjeta),1,1
3190,2,17343.0,3170,0.0067462535015527,Sin Acción (Cliente Estable),0,0
8247,0,2722.0,4488,0.002847624641877782,Sin Acción (Cliente Estable),0,0
2313,0,2548.0,2055,0.05475199305897479,Sin Acción (Cliente Estable),0,0
9420,1,3223.0,13648,0.005347667188839037,Sin Acción (Cliente Estable),0,0
9831,1,10610.0,15050,0.0036846415153633763,Sin Acción (Cliente Estable),0,0
2157,3,5931.0,2730,0.007267119323209269,Sin Acción (Cliente Estable),0,0
2338,2,30753.0,1780,0.00411167786527119,Sin Acción (Cliente Estable),0,0
6485,2,16794.0,4040,0.001708335868478466,Sin Acción (Cliente Estable),0,0
7087,0,6690.0,3875,0.015796575066134598,Sin Acción (Cliente Estable),0,0
2026,0,3908.0,1903,0.04099956987829283,Sin Acción (Cliente Estable),0,0
3593,3,5376.0,4511,0.002629983508888756,Sin Acción (Cliente Estable),0,0
2126,3,13092.0,936,0.9186309660971324,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
5738,3,4781.0,2451,0.8363025161293967,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
6961,0,1438.3,4688,0.0017819196409637333,Sin Acción (Cliente Estable),0,0
2198,0,2432.0,3670,0.0037507690188331366,Sin Acción (Cliente Estable),0,0
3316,2,16105.0,4631,0.002266290694109101,Sin Acción (Cliente Estable),0,0
1034,3,3706.0,1688,0.10601818940442846,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,0
6100,2,34516.0,4042,0.0017888049540331276,Sin Acción (Cliente Estable),0,0
6658,0,1862.0,5105,0.0016454353031848683,Sin Acción (Cliente Estable),0,0
3993,3,7860.0,3512,0.00223327977241854,Sin Acción (Cliente Estable),0,0
7721,3,8671.0,4399,0.005038549512229754,Sin Acción (Cliente Estable),0,0
9066,0,3723.0,8554,0.003314307154677561,Sin Acción (Cliente Estable),0,0
2816,2,32676.0,3990,0.0017456862598326627,Sin Acción (Cliente Estable),0,0
6897,0,2255.0,4309,0.0018524669220012714,Sin Acción (Cliente Estable),0,0
7005,0,2385.0,3711,0.0017028854646253984,Sin Acción (Cliente Estable),0,0
7091,3,2423.0,2516,0.6882107815877379,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
1507,3,10266.0,1720,0.044666167322503204,Sin Acción (Cliente Estable),0,0
6463,0,5427.0,4328,0.0018470868100627074,Sin Acción (Cliente Estable),0,0
9413,1,11522.0,13720,0.0019699755035087474,Sin Acción (Cliente Estable),0,0
8732,0,2167.0,7199,0.0036816215897483187,Sin Acción (Cliente Estable),0,0
3415,0,3504.0,4439,0.0015261849680190092,Sin Acción (Cliente Estable),0,0
4629,0,3076.0,4522,0.0031831576856353777,Sin Acción (Cliente Estable),0,0
4252,3,6946.0,4058,0.0018382611164886608,Sin Acción (Cliente Estable),0,0
3387,3,1438.3,2598,0.8290394005446194,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,0
558,3,1962.0,1179,0.11269306897768035,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,0
6583,3,3001.0,2577,0.9931964804125452,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
9648,1,9149.0,14401,0.0019699755035087474,Sin Acción (Cliente Estable),0,0
3801,3,13735.0,1783,0.7494280117023596,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
7039,3,14266.0,1625,0.0702417442667156,Sin Acción (Cliente Estable),0,1
4029,2,32535.0,4374,0.0018527118433957915,Sin Acción (Cliente Estable),0,0
5891,0,1438.3,4606,0.0020458340449667667,Sin Acción (Cliente Estable),0,0
5058,3,7869.0,4314,0.0016568198591819855,Sin Acción (Cliente Estable),0,0
4551,0,2766.0,4480,0.001580371162101007,Sin Acción (Cliente Estable),0,0
8752,0,2367.0,4506,0.012707429772959028,Sin Acción (Cliente Estable),0,1
5256,2,34516.0,3847,0.003050785875702271,Sin Acción (Cliente Estable),0,0
6640,3,6184.0,1756,0.7266088460658374,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
5382,0,2533.0,3197,0.036365946665826016,Sin Acción (Cliente Estable),0,0
8953,0,2019.0,8426,0.005132702140650316,Sin Acción (Cliente Estable),0,0
8429,0,5471.0,5103,0.00400976867505884,Sin Acción (Cliente Estable),0,0
8934,1,22226.0,8753,0.0036708291183974564,Sin Acción (Cliente Estable),0,0
2967,3,5984.0,1838,0.7840680125186582,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
947,0,8504.0,1881,0.005487111012678809,Sin Acción (Cliente Estable),0,0
9589,1,34516.0,14994,0.001800980210792172,Sin Acción (Cliente Estable),0,0
7560,0,4170.0,4532,0.0016630414277967538,Sin Acción (Cliente Estable),0,0
1119,3,1438.3,1999,0.8125976155225052,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,0
7661,3,4222.0,4487,0.002384283133785096,Sin Acción (Cliente Estable),0,0
6465,3,2867.0,2646,0.9837196429682709,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
5219,3,3006.0,5177,0.004205538532751118,Sin Acción (Cliente Estable),0,0
410,0,3106.0,1512,0.003585338500860975,Sin Acción (Cliente Estable),0,0
8017,0,3081.0,4317,0.004926526453280388,Sin Acción (Cliente Estable),0,0
4963,0,5624.0,3843,0.00205777102240974,Sin Acción (Cliente Estable),0,0
3446,2,19999.0,3183,0.004872209898573747,Sin Acción (Cliente Estable),0,0
5925,3,1720.0,2719,0.9881779781086614,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
669,3,15459.0,1419,0.02345507177854355,Sin Acción (Cliente Estable),0,0
8931,3,4941.0,7631,0.003076787064291542,Sin Acción (Cliente Estable),0,0
7343,3,6053.0,5035,0.03536804934754227,Sin Acción (Cliente Estable),0,0
4335,2,34516.0,2427,0.6907613348159678,DESPERTAR VIP: Re-engagement (Bono de Cashback / Upgrade Tarjeta),1,1
725,0,2243.0,1334,0.011484840051685357,Sin Acción (Cliente Estable),0,0
7225,3,1815.0,4519,0.00414872024998974,Sin Acción (Cliente Estable),0,0
6096,0,2078.0,4382,0.0017016096265026895,Sin Acción (Cliente Estable),0,0
8111,0,3914.0,4242,0.006836833014455242,Sin Acción (Cliente Estable),0,0
2196,2,34516.0,1930,0.3598987145372645,DESPERTAR VIP: Re-engagement (Bono de Cashback / Upgrade Tarjeta),1,0
437,0,4789.0,1534,0.0033451602774025105,Sin Acción (Cliente Estable),0,0
8531,0,2977.0,5217,0.0021109930106351918,Sin Acción (Cliente Estable),0,0
1944,3,10651.0,2073,0.04541791705813277,Sin Acción (Cliente Estable),0,0
3932,3,11096.0,3949,0.00257703996805069,Sin Acción (Cliente Estable),0,0
984,0,9172.0,1836,0.004607841079794954,Sin Acción (Cliente Estable),0,0
650,2,34516.0,1929,0.024001492143594216,Sin Acción (Cliente Estable),0,0
8398,3,6568.0,1507,0.7001451731051512,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
2062,3,3818.0,2947,0.0053010921623498275,Sin Acción (Cliente Estable),0,0
425,3,6884.0,975,0.16626092069317222,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,0
975,0,2483.0,1704,0.005688278963858343,Sin Acción (Cliente Estable),0,0
9567,2,24884.0,5107,0.9767283000141206,DESPERTAR VIP: Re-engagement (Bono de Cashback / Upgrade Tarjeta),1,1
4428,2,15069.0,3464,0.0038260502002240315,Sin Acción (Cliente Estable),0,0
4280,2,34516.0,3918,0.00904292776812446,Sin Acción (Cliente Estable),0,0
5977,0,7451.0,4960,0.0019032917166921341,Sin Acción (Cliente Estable),0,0
2983,2,27751.0,1427,0.030542100206850623,Sin Acción (Cliente Estable),0,0
4497,0,2211.0,4359,0.0016098912282112346,Sin Acción (Cliente Estable),0,0
4851,3,5655.0,2189,0.10535988328043723,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
1930,3,2564.0,2038,0.5665713181957057,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,0
2353,2,34516.0,2329,0.0023281329879792506,Sin Acción (Cliente Estable),0,0
8318,3,16553.0,4797,0.00484117080870456,Sin Acción (Cliente Estable),0,0
9898,3,15633.0,8660,0.9837970343802973,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
9562,1,13056.0,14280,0.002083452836252189,Sin Acción (Cliente Estable),0,0
124,2,34516.0,1268,0.39384595544545753,DESPERTAR VIP: Re-engagement (Bono de Cashback / Upgrade Tarjeta),1,0
5538,0,2922.0,3895,0.001662688310525663,Sin Acción (Cliente Estable),0,0
9451,1,12552.0,15508,0.001800980210792172,Sin Acción (Cliente Estable),0,0
9775,1,27229.0,13264,0.004429688241611119,Sin Acción (Cliente Estable),0,0
9440,1,34516.0,12192,0.003724267545524322,Sin Acción (Cliente Estable),0,0
3934,2,27391.0,2862,0.13113094883041768,Sin Acción (Cliente Estable),0,0
9118,1,3751.0,9497,0.005810193860155561,Sin Acción (Cliente Estable),0,0
1374,3,1801.0,3193,0.01148871667534182,Sin Acción (Cliente Estable),0,0
994,2,34516.0,1629,0.05795360935414602,Sin Acción (Cliente Estable),0,0
9520,1,4623.0,14730,0.002003012859018842,Sin Acción (Cliente Estable),0,0
1304,0,8881.0,2027,0.018557364240323993,Sin Acción (Cliente Estable),0,0
6214,0,9505.0,3616,0.0034421721257323346,Sin Acción (Cliente Estable),0,0
4436,0,1954.0,3896,0.003390784401983435,Sin Acción (Cliente Estable),0,0
6468,3,3137.0,2925,0.944624077858796,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
3677,3,11884.0,4134,0.0023632952594654756,Sin Acción (Cliente Estable),0,0
10025,1,4047.0,16191,0.007215072138441146,Sin Acción (Cliente Estable),0,0
10069,1,6933.0,15585,0.0025456193505839,Sin Acción (Cliente Estable),0,0
9712,1,30885.0,17350,0.0036132928645468583,Sin Acción (Cliente Estable),0,0
9332,1,10602.0,14084,0.0036933086949944645,Sin Acción (Cliente Estable),0,0
4441,3,1438.3,2054,0.8729222238376937,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
5963,3,11316.0,2595,0.8475227544278835,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
9757,1,4093.0,15495,0.003601242457788369,Sin Acción (Cliente Estable),0,0
9999,1,34516.0,15151,0.0035889823305279966,Sin Acción (Cliente Estable),0,0
2248,0,4397.0,2473,0.009645638208891444,Sin Acción (Cliente Estable),0,0
6578,0,2302.0,2689,0.904811004115541,ALIVIO FINANCIERO: Reestructuración (Descuento de Tasa / Pagos Fijos),1,1
6707,0,3562.0,4490,0.0019652967744841834,Sin Acción (Cliente Estable),0,0
4340,0,2799.0,3971,0.0017015122104718857,Sin Acción (Cliente Estable),0,0
3355,3,4988.0,3890,0.002056140290325713,Sin Acción (Cliente Estable),0,0
1888,2,22886.0,2652,0.023665257020157968,Sin Acción (Cliente Estable),0,0
864,0,4592.0,1772,0.012684556818316171,Sin Acción (Cliente Estable),0,0
5343,3,2220.0,2859,0.4286865244650687,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
7529,3,1569.0,2288,0.9813732678582922,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
4228,2,28327.0,3475,0.0595580751997605,Sin Acción (Cliente Estable),0,0
3419,0,3509.0,4712,0.0015343201690481505,Sin Acción (Cliente Estable),0,0
6190,3,4130.0,2418,0.9608113623759996,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,1
3853,0,6249.0,3988,0.005706148250385477,Sin Acción (Cliente Estable),0,0
5237,0,2736.0,4078,0.0020556883838657217,Sin Acción (Cliente Estable),0,0
2180,3,5137.0,2496,0.21077482411365642,CAMPAÑA MASIVA: Red de Arrastre (Email Automático / MSI),1,0
8028,3,1438.3,4769,0.0018076827506491005,Sin Acción (Cliente Estable),0,0
9790,1,8507.0,14949,0.0019069618198666242,Sin Acción (Cliente Estable),0,0
8984,0,1838.0,7688,0.002442251593681766,Sin Acción (Cliente Estable),0,0
8145,0,1759.0,4351,0.0015520853485429774,Sin Acción (Cliente Estable),0,0
